Number of youth  in custody and detention centers/facilities / Nombre de jeunes dans les centres et établissements de garde et de détention,,,,
Date,Sex / Sexe,Facility Type (Open/Secure) / Type de lieu (ouvert ou fermé),Youth Justice Services Division Region / Région de la Division des services de justice pour la jeunesse,Number of youth in facility / Nombre de jeunes en établissement
01-Apr-12,Male,Secure Facility,Central Region,103
02-Apr-12,Male,Secure Facility,Central Region,104
03-Apr-12,Male,Secure Facility,Central Region,102
04-Apr-12,Male,Secure Facility,Central Region,103
05-Apr-12,Male,Secure Facility,Central Region,104
06-Apr-12,Male,Secure Facility,Central Region,101
07-Apr-12,Male,Secure Facility,Central Region,108
08-Apr-12,Male,Secure Facility,Central Region,108
09-Apr-12,Male,Secure Facility,Central Region,108
10-Apr-12,Male,Secure Facility,Central Region,109
11-Apr-12,Male,Secure Facility,Central Region,106
12-Apr-12,Male,Secure Facility,Central Region,105
13-Apr-12,Male,Secure Facility,Central Region,105
14-Apr-12,Male,Secure Facility,Central Region,104
15-Apr-12,Male,Secure Facility,Central Region,109
16-Apr-12,Male,Secure Facility,Central Region,110
17-Apr-12,Male,Secure Facility,Central Region,107
18-Apr-12,Male,Secure Facility,Central Region,108
19-Apr-12,Male,Secure Facility,Central Region,112
20-Apr-12,Male,Secure Facility,Central Region,112
21-Apr-12,Male,Secure Facility,Central Region,108
22-Apr-12,Male,Secure Facility,Central Region,114
23-Apr-12,Male,Secure Facility,Central Region,115
24-Apr-12,Male,Secure Facility,Central Region,109
25-Apr-12,Male,Secure Facility,Central Region,109
26-Apr-12,Male,Secure Facility,Central Region,109
27-Apr-12,Male,Secure Facility,Central Region,107
28-Apr-12,Male,Secure Facility,Central Region,112
29-Apr-12,Male,Secure Facility,Central Region,116
30-Apr-12,Male,Secure Facility,Central Region,118
01-Apr-12,Male,Secure Facility,Eastern Region,57
02-Apr-12,Male,Secure Facility,Eastern Region,57
03-Apr-12,Male,Secure Facility,Eastern Region,57
04-Apr-12,Male,Secure Facility,Eastern Region,57
05-Apr-12,Male,Secure Facility,Eastern Region,55
06-Apr-12,Male,Secure Facility,Eastern Region,55
07-Apr-12,Male,Secure Facility,Eastern Region,56
08-Apr-12,Male,Secure Facility,Eastern Region,56
09-Apr-12,Male,Secure Facility,Eastern Region,57
10-Apr-12,Male,Secure Facility,Eastern Region,57
11-Apr-12,Male,Secure Facility,Eastern Region,54
12-Apr-12,Male,Secure Facility,Eastern Region,55
13-Apr-12,Male,Secure Facility,Eastern Region,56
14-Apr-12,Male,Secure Facility,Eastern Region,55
15-Apr-12,Male,Secure Facility,Eastern Region,56
16-Apr-12,Male,Secure Facility,Eastern Region,58
17-Apr-12,Male,Secure Facility,Eastern Region,54
18-Apr-12,Male,Secure Facility,Eastern Region,55
19-Apr-12,Male,Secure Facility,Eastern Region,56
20-Apr-12,Male,Secure Facility,Eastern Region,55
21-Apr-12,Male,Secure Facility,Eastern Region,56
22-Apr-12,Male,Secure Facility,Eastern Region,55
23-Apr-12,Male,Secure Facility,Eastern Region,55
24-Apr-12,Male,Secure Facility,Eastern Region,57
25-Apr-12,Male,Secure Facility,Eastern Region,57
26-Apr-12,Male,Secure Facility,Eastern Region,57
27-Apr-12,Male,Secure Facility,Eastern Region,56
28-Apr-12,Male,Secure Facility,Eastern Region,55
29-Apr-12,Male,Secure Facility,Eastern Region,55
30-Apr-12,Male,Secure Facility,Eastern Region,55
01-Apr-12,Male,Secure Facility,Northern Region,74
02-Apr-12,Male,Secure Facility,Northern Region,75
03-Apr-12,Male,Secure Facility,Northern Region,74
04-Apr-12,Male,Secure Facility,Northern Region,76
05-Apr-12,Male,Secure Facility,Northern Region,75
06-Apr-12,Male,Secure Facility,Northern Region,76
07-Apr-12,Male,Secure Facility,Northern Region,80
08-Apr-12,Male,Secure Facility,Northern Region,81
09-Apr-12,Male,Secure Facility,Northern Region,83
10-Apr-12,Male,Secure Facility,Northern Region,83
11-Apr-12,Male,Secure Facility,Northern Region,84
12-Apr-12,Male,Secure Facility,Northern Region,83
13-Apr-12,Male,Secure Facility,Northern Region,83
14-Apr-12,Male,Secure Facility,Northern Region,83
15-Apr-12,Male,Secure Facility,Northern Region,85
16-Apr-12,Male,Secure Facility,Northern Region,85
17-Apr-12,Male,Secure Facility,Northern Region,83
18-Apr-12,Male,Secure Facility,Northern Region,84
19-Apr-12,Male,Secure Facility,Northern Region,82
20-Apr-12,Male,Secure Facility,Northern Region,84
21-Apr-12,Male,Secure Facility,Northern Region,79
22-Apr-12,Male,Secure Facility,Northern Region,81
23-Apr-12,Male,Secure Facility,Northern Region,84
24-Apr-12,Male,Secure Facility,Northern Region,80
25-Apr-12,Male,Secure Facility,Northern Region,81
26-Apr-12,Male,Secure Facility,Northern Region,80
27-Apr-12,Male,Secure Facility,Northern Region,78
28-Apr-12,Male,Secure Facility,Northern Region,80
29-Apr-12,Male,Secure Facility,Northern Region,81
30-Apr-12,Male,Secure Facility,Northern Region,84
01-Apr-12,Male,Secure Facility,Western Region,108
02-Apr-12,Male,Secure Facility,Western Region,107
03-Apr-12,Male,Secure Facility,Western Region,108
04-Apr-12,Male,Secure Facility,Western Region,108
05-Apr-12,Male,Secure Facility,Western Region,105
06-Apr-12,Male,Secure Facility,Western Region,101
07-Apr-12,Male,Secure Facility,Western Region,101
08-Apr-12,Male,Secure Facility,Western Region,102
